3997544	3997544	1
1547110	1547110	1
1417055	1417055	1
5301177	5301177	1
2671862	2671862	1
4535478	4535478	1
2355116	2355116	1
1988994	1988994	1
4642463	4642463	1
1744109	1744109	1
5262043	5262043	1
5930440	5930440	1
4543328	4543328	1
2410912	2410912	1
5848942	5848942	1
1346920	1346920	1
2332313	2332313	1
4261816	4261816	1
1809047	1809047	1
3955071	3955071	1
3853445	3853445	1
4223440	4223440	1
3393386	3393386	1
1057061	1057061	1
2227196	2227196	1
3665945	3665945	1
2488078	2488078	1
4783519	4783519	1
5614427	5614427	1
2431041	2431041	1
5937366	5937366	1
4753349	4753349	1
2438254	2438254	1
5525797	5525797	1
2700091	2700091	1
3991501	3991501	2
5193355	5193355	2
5977046	5977046	2
4833473	4833473	2
3779181	3779181	2
1733900	1733900	2
4304396	4304396	2
5494095	5494095	2
5971055	5971055	2
3076701	3076701	2
4063177	4063177	2
4334830	4334830	2
1271738	1271738	2
4825794	4825794	2
5651777	5651777	2
5265770	5265770	2
3942637	3942637	2
5725455	5725455	2
5294217	5294217	2
2489167	2489167	2
4579185	4579185	2
1746716	1746716	2
5835565	5835565	2
3064770	3064770	2
5190249	5190249	2
1184322	1184322	2
5232001	5232001	2
5595635	5595635	2
1492468	1492468	2
4018901	4018901	2
5062329	5062329	2
3882849	3882849	2
5078704	5078704	2
2990688	2990688	2
3961732	3961732	2
4918469	4918469	2
5328778	5328778	2
1288474	1288474	2
2211460	2211460	2
4695090	4695090	2
1284526	1284526	2
2954847	2954847	2
1848200	1848200	2
3127588	3127588	2
2988099	2988099	2
1865872	1865872	2
5904192	5904192	2
5159314	5159314	2
5676043	5676043	2
5263450	5263450	2
5985556	5985556	2
1634351	1634351	2
5127989	5127989	2
4206939	4206939	2
5911270	5911270	2
4930193	4930193	2
1627779	1627779	2
2404841	2404841	2
5894985	5894985	2
3061619	3061619	2
2941732	2941732	2
4983005	4983005	2
3976803	3976803	2
1107821	1107821	2
4591242	4591242	2
